,file_name,unit,region,spk,spike_ct
0,acc_05122016_KurosawaCoppola,1,acc,SPK10,52545
1,acc_05122016_KurosawaCoppola,2,acc,SPK10,13679
2,acc_05122016_KurosawaCoppola,3,acc,SPK10,18185
3,acc_05122016_KurosawaCoppola,4,acc,SPK10,8608
4,acc_05122016_KurosawaCoppola,5,acc,SPK10,176
5,acc_1_04052016_kurocoppola_pre,1,acc,SPK10,1016
6,acc_1_04052016_kurocoppola_pre,2,acc,SPK10,6376
7,acc_1_04052016_kurocoppola_pre,3,acc,SPK10,727
8,acc_1_04052016_kurocoppola_pre,4,acc,SPK10,3831
9,acc_1_04072016_kurosawacoppola_pre,1,acc,SPK10,3227
10,acc_1_04072016_kurosawacoppola_pre,2,acc,SPK10,5354
11,acc_1_04072016_kurosawacoppola_pre,3,acc,SPK10,2879
12,acc_1_04072016_kurosawacoppola_pre,4,acc,SPK10,161
13,acc_1_04122016_kurosawacoppola_pre,1,acc,SPK10,1724
14,acc_1_04122016_kurosawacoppola_pre,2,acc,SPK10,1350
15,acc_1_04122016_kurosawacoppola_pre,3,acc,SPK10,2732
16,acc_1_04122016_kurosawacoppola_pre,4,acc,SPK10,1213
17,acc_1_04192016_kurosawacoppola_pre,1,acc,SPK10,169
18,acc_1_04192016_kurosawacoppola_pre,2,acc,SPK10,1848
19,acc_1_04192016_kurosawacoppola_pre,3,acc,SPK10,9611
20,acc_1_04202016_kurosawacoppola_pre,1,acc,SPK10,4773
21,acc_1_04202016_kurosawacoppola_pre,2,acc,SPK10,5018
22,acc_1_04202016_kurosawacoppola_pre,3,acc,SPK10,2558
23,acc_1_04202016_kurosawacoppola_pre,4,acc,SPK10,909
24,acc_1_04222016_kurosawacoppola_pre,1,acc,SPK10,592
25,acc_1_04222016_kurosawacoppola_pre,2,acc,SPK10,6787
26,acc_1_04222016_kurosawacoppola_pre,3,acc,SPK10,2207
27,acc_1_04222016_kurosawacoppola_pre,4,acc,SPK10,1057
28,acc_1_04222016_kurosawacoppola_pre,5,acc,SPK10,4153
29,acc_1_04222016_kurosawacoppola_pre,6,acc,SPK10,9132
30,acc_1_04262016_kurocoppola_pre,1,acc,SPK10,3931
31,acc_1_04262016_kurocoppola_pre,2,acc,SPK10,6435
32,acc_1_06072016_kurosawa_Coppola_OT,1,acc,SPK10,61224
33,acc_1_06132016_kurosawaCoppola_OT,1,acc,SPK10,4660
34,acc_1_06132016_kurosawaCoppola_OT,2,acc,SPK10,3310
35,acc_1_06132016_kurosawaCoppola_OT,3,acc,SPK10,2041
36,acc_1_06132016_kurosawaCoppola_OT,4,acc,SPK10,3448
37,acc_1_Hitch_01042017,1,acc,SPK18,15977
38,acc_1_Hitch_01042017,2,acc,SPK19,53386
39,acc_1_Hitch_01042017,3,acc,SPK20,57418
40,acc_1_Hitch_01042017,4,acc,SPK21,56186
41,acc_1_Hitch_01042017,5,acc,SPK23,430
42,acc_1_Hitch_01042017,6,acc,SPK24,25461
43,acc_1_Hitch_01042017,7,acc,SPK29,6586
44,acc_1_Hitch_01042017,8,acc,SPK31,8357
45,acc_1_Hitch_01042017,9,acc,SPK32,19915
46,acc_1_Hitch_01052016,1,acc,SPK17,16333
47,acc_1_Hitch_01052016,2,acc,SPK17,1241
48,acc_1_Hitch_01052016,3,acc,SPK18,9358
49,acc_1_Hitch_01052016,4,acc,SPK18,2822
50,acc_1_Hitch_01052016,5,acc,SPK20,9985
51,acc_1_Hitch_01052016,6,acc,SPK24,23758
52,acc_1_Hitch_01052016,7,acc,SPK27,47252
53,acc_1_Hitch_01052016,8,acc,SPK28,1530
54,acc_1_Hitch_01052016,9,acc,SPK28,38877
55,acc_1_Hitch_01052016,10,acc,SPK29,70100
56,acc_1_Hitch_01052016,11,acc,SPK30,43126
57,acc_1_Hitch_01062017,1,acc,SPK17,6786
58,acc_1_Hitch_01062017,2,acc,SPK18,26602
59,acc_1_Hitch_01062017,3,acc,SPK19,35640
60,acc_1_Hitch_01062017,4,acc,SPK20,32957
61,acc_1_Hitch_01062017,5,acc,SPK21,89242
62,acc_1_Hitch_01062017,6,acc,SPK22,10422
63,acc_1_Hitch_01062017,7,acc,SPK23,43809
64,acc_1_Hitch_01062017,8,acc,SPK27,34070
